train,test,nll,pos,rot
-279.5690816370765,-301.87962475426104,-280.27611098178596,6.089262939997143,0.09344808826612871
-280.97966115336277,-300.75878380105394,-281.70128188022346,6.190073116720449,0.09740129477062891
-281.1980117558535,-306.0596717711355,-281.8989449434502,6.041500903968272,0.09175996534353079
-281.4593960376935,-306.5587037706755,-282.1605756892714,6.033480648230381,0.09270537523336189
-283.0611926590262,-303.76734321452545,-283.74222369526706,5.858664098982112,0.09065278065066006
-283.7632002878374,-303.41078131608054,-284.45311648346654,5.950929758970152,0.08995567470095879
-285.0110532336287,-305.35201165971574,-285.6749856638354,5.731432431853164,0.086489979784156
-285.21362362449634,-305.36547580763255,-285.9095160905705,5.991062086003312,0.09177415020937144
-286.14755997904666,-308.1000540446547,-286.80627654319585,5.703881082129624,0.08403652247994445
-286.5631946903838,-303.83859660139,-287.22892867687136,5.752597640541201,0.08629728871029477
-287.3307335054162,-308.0366646987065,-287.99342452648074,5.7133241644552815,0.08689210078744002
-288.39823273595516,-309.44016659474926,-289.05397211119185,5.659694543034296,0.08551201328288677
-288.0716380889686,-307.62569166776905,-288.72465550622275,5.6426649028687175,0.08457061994907468
-290.1684720842115,-312.2366907682168,-290.8143984772438,5.587377666174791,0.0831143835256266
-289.9936291857122,-311.0663276435296,-290.63403604196947,5.536942201035768,0.08264563007410182
-290.24562532520275,-313.38229387916545,-290.8787550815316,5.472059055089443,0.08220966420201369
-290.69596362230607,-309.4750248608424,-291.3389559013899,5.563602930298022,0.08258590777946073
-291.48358511810227,-312.6725176867109,-292.11389302098473,5.4731900264982425,0.07926687320997548
-292.2335184674943,-312.5564434440313,-292.8551075070403,5.38678992493875,0.07916480077560557
-292.847663703746,-314.10557463809636,-293.4642710131268,5.342502207801408,0.07837489567870318
-293.3507845451559,-317.9686563589799,-293.9730125249818,5.3944722678559325,0.0790882665057515
-294.2286581654147,-316.7124911390656,-294.8559797420058,5.437653128294407,0.07945102843087773
-293.83143501036125,-314.1833730215195,-294.4438377202943,5.310573080474172,0.07744360299304474
-294.0676626773586,-318.37492999369186,-294.6761070074037,5.283340305114407,0.07654374214105827
-295.2942044852243,-316.84758420593806,-295.9032713424328,5.305978304856979,0.0748954864088879
-295.7491985131977,-318.2426459591514,-296.33812908793607,5.123201414885938,0.07296447776431261
-297.6704978091617,-317.6128260529097,-298.27144321175507,5.233412567868073,0.07376007397854051
-297.5722388158256,-316.30408376421025,-298.1679297158884,5.184162897886188,0.07358811994971232
-297.61994491853346,-318.69843984507673,-298.20292273233105,5.090102494907379,0.07075485595783522
-297.8117386634628,-318.358714251764,-298.4049512286519,5.176778097289202,0.07207677608659101
-298.5629367124172,-319.3526502320504,-299.1463658532431,5.097592024492473,0.07010848378372747
-299.50480365595286,-318.63948854116967,-300.08147128792695,5.035223152181261,0.06982144236911175
-300.60085972796213,-318.14426315287585,-301.16884027525435,4.978072927442874,0.06685188871830008
-300.77756712120174,-319.6979817391282,-301.34179545557777,4.9461590849207155,0.06660890050752219
-301.49423943735985,-322.7305730487565,-302.05438658248545,4.9044377248898074,0.06662833543364392
-300.90708020475336,-320.14137620725097,-301.47020916606107,4.928433023844088,0.06710815724245338
-301.622829035709,-319.841879933295,-302.17842847247454,4.862474901649058,0.06643263137964316
-302.49523840030673,-322.54399025910976,-303.05585781363555,4.920371091412826,0.0654099429416102
-303.64676248463616,-316.92959514101415,-304.19863607717116,4.848773219635685,0.06400084140342335
-303.6836472098041,-321.7344648952929,-304.2366787222929,4.8479956199439584,0.06532983308614687
-302.79488015727253,-321.79397873394055,-303.349930874137,4.867961942060201,0.06518506371351175
-304.0465246773024,-322.99595466610015,-304.5936577375545,4.798305845937663,0.06420602727421494
-304.47012992292855,-321.80849063111185,-305.0106903785883,4.746627687566578,0.06295094665053279
-304.60145116611164,-322.3480728983422,-305.14178537767987,4.736487731487551,0.06386435109862061
-305.79474826619037,-323.96401136586564,-306.335496769395,4.744109083007018,0.0633271700421045
-311.7331347055144,-330.04586624964367,-312.2500191622002,4.537197650102388,0.060287148800007136
-313.67499203157263,-334.99211249521085,-314.1860798680505,4.486666447288449,0.05958071515657181
-314.86375081966344,-329.5641397365592,-315.37177578238555,4.465887782045962,0.05876949308223502
-314.2503755376303,-331.7557285237291,-314.7592624398165,4.467846515348856,0.059443990158480266
-314.0940560516763,-332.1366310524842,-314.6047711039698,4.4793470654198035,0.06006625026117924
-314.8123688525308,-332.86773477549866,-315.31714576898617,4.4338121999153985,0.05870257577923841
-315.02180923942757,-334.4864435777279,-315.5296581179597,4.4543807484168365,0.05974387065615765
-315.00086651679317,-331.6413794020479,-315.5015038778616,4.3903478599004275,0.05896691648766052
-314.74079809772564,-336.3483728700163,-315.2448829828307,4.418493589567216,0.05959172815430996
-315.4295362943709,-334.5216144644629,-315.9346668332122,4.432760725204864,0.05914778634905815
-315.26918339840455,-333.04690396250714,-315.77538494731107,4.44704416584137,0.05882325543220653
-315.62909895107293,-333.5815236709544,-316.1284669388172,4.378825967119652,0.05894903440115064
-315.7057954431397,-337.01282273001107,-316.2056742823401,4.383514776891508,0.058846474127020945
-316.17565473318376,-335.9286155157166,-316.68207212936045,4.445315103087778,0.05899330159259397
-316.1205274958936,-333.4654274444758,-316.6190661053325,4.373492037537796,0.05859212291448615
-316.6188750308304,-335.1769708340553,-317.11843517214754,4.387726843610051,0.05816715496570565
-315.9107140710791,-330.8790189649177,-316.4101257324219,4.381308550849471,0.058698578975921456
-316.4014625198181,-333.9337856506512,-316.8987739030705,4.363886095722498,0.05841984565174857
-317.3272130082518,-336.9808049477081,-317.82312153660973,4.351922623558529,0.05810929332361665
-317.4075573157623,-337.9566680143827,-317.905166271121,4.372783434533058,0.05784286160108655
-317.76681042354886,-332.52948271370144,-318.2661395405614,4.386237594429427,0.0580678531077019
-317.8530707264146,-339.0806229597409,-318.35038721838663,4.367311265870478,0.05798480737694474
-317.6269273585755,-338.2818059739918,-318.1185941474382,4.310156611358923,0.058168373048998585
-317.0838483721209,-333.9299413979435,-317.57787873024165,4.3342590167815205,0.05815275879793389
-317.55333520704363,-330.81156179753197,-318.05281102380087,4.380828860724114,0.05877120948808138
-317.82914491114747,-341.0608795291955,-318.3236857569495,4.341349488532531,0.05794858889177788
-318.9991369316425,-337.8064880600943,-319.4913876555687,4.320481609761751,0.057593654148107354
-318.6940862280298,-334.5723748032027,-319.1867924180142,4.3205946267284165,0.05800672611871431
-318.5427068748167,-332.7887554165223,-319.03440608534703,4.318089114017713,0.05745980282162511
-319.32226934547214,-337.2376652602779,-319.8121181754179,4.2964410824472745,0.057690740584634075
-319.8131980608233,-331.9575034671872,-320.3010559082031,4.280601970596173,0.05729478528333265
-319.07999914946254,-336.2679107337963,-319.574433082758,4.338374963679618,0.05794160414573758
-318.9164083360616,-333.5910529131043,-319.4101959938227,4.337252059275075,0.057574431910071264
-318.8922172784887,-333.5505546111086,-319.38663926235466,4.343192077411683,0.05759120507295742
-320.39997232810816,-338.22350076697205,-320.88992380541424,4.301057387931103,0.05730210426588391
-319.2812445696336,-338.5426040604836,-319.77468943041424,4.331311049109536,0.057733480926862986
-320.3773813204571,-338.6166093365271,-320.8625374727471,4.257528702628694,0.05689935403507809
-320.0705624043505,-338.0512955247347,-320.5593375272529,4.287818572150475,0.05756061671431675
-320.0786393649786,-336.740846608603,-320.5684864132903,4.299756273178871,0.05741683411043744
-321.0011304768556,-339.9134368997405,-321.48992423124093,4.292248846765687,0.05698695761519809
-320.62938301821197,-340.00361947996646,-321.1164018497911,4.2730602815734775,0.05714677993294805
-320.51751571107866,-337.4413624903253,-321.0101573855378,4.3305665247917995,0.05698843889458235
-320.8531855291227,-335.8058201671646,-321.3400289846021,4.2727425837488475,0.05705383671231048
-321.4814911789282,-338.4318542727527,-321.9690487883812,4.281198984181499,0.05680844568929007
-321.46913002137273,-338.73834948764625,-321.95407956145533,4.257535133845839,0.056687918340050894
-321.4933691719899,-336.3731032171671,-321.98164332190225,4.287834622775199,0.056895663745181506
-321.7210460495786,-340.31441311111683,-322.203946845476,4.235662678388341,0.056812892732925196
-322.5663635550136,-341.4867101327656,-323.0496492607649,4.246625261988807,0.05624370181629824
-321.3763783942784,-337.1713098334434,-321.8647134470385,4.285814723046487,0.05712746101063351
-321.83330026611225,-336.3273714155979,-322.3184566054233,4.260967943539498,0.056559803094281706
-323.81381483580464,-340.4838237157502,-324.2918651492097,4.197612475758381,0.05599660114493481
-324.85162780679826,-343.1398432980755,-325.3290192360102,4.1920281932749255,0.05565450955615487
-325.4089437854149,-339.28375701800707,-325.88422695426055,4.175983494860092,0.05529404214994852
-324.48382063486685,-344.6509012587923,-324.9612554505814,4.190540101107725,0.05586270884025928
-324.6584233760842,-339.2958494792549,-325.13814101108284,4.214187988159788,0.05577194768675538
-324.8135183756634,-342.69299122112085,-325.2869624647983,4.15205680015794,0.05584283762199934
-325.37917114778605,-341.4520863263766,-325.857374324355,4.199925711539989,0.05573905657890231
-324.8521386130922,-340.13490235868693,-325.33028039266895,4.200566884110028,0.05563293917234554
-325.31377519418953,-342.71615233720996,-325.7881448435229,4.16156168413868,0.055755636373231575
